BED_WARD_ParRef,BED_RowID,BED_Room_DR,BED_Code,BED_BedType_DR,BED_Available
4,4||3,69,1,5,Y
4,4||5,70,2,5,N
4,4||7,71,3,5,N
4,4||9,72,4,5,N
4,4||11,73,5,5,N
4,4||13,74,6,5,N
4,4||14,116,7,5,N
4,4||16,114,8,5,N
5,5||1,93,DS1,5,Y
5,5||3,93,DS2,5,Y
5,5||5,93,DS3,5,Y
5,5||7,93,DS4,5,Y
5,5||9,93,DS5,5,Y
5,5||11,93,DS6,5,Y
5,5||13,93,DS7,5,Y
5,5||15,93,DS8,5,N
6,6||1,55,A,1,Y
6,6||3,55,B,1,Y
6,6||5,55,C,1,Y
6,6||7,55,D,1,Y
6,6||9,55,E,1,Y
6,6||11,55,F,1,Y
6,6||13,55,G,1,Y
6,6||15,55,H,1,Y
6,6||17,55,I,1,Y
7,7||1,16,01,5,Y
7,7||3,17,02,5,Y
7,7||5,19,03A,5,N
7,7||7,19,03B,5,N
7,7||9,19,3C,5,Y
7,7||12,21,04,5,Y
7,7||14,22,05,5,Y
7,7||16,24,06,5,Y
7,7||18,27,07,5,Y
7,7||20,29,08A,5,Y
7,7||22,29,08B,5,Y
7,7||24,31,09A,5,Y
7,7||26,31,09B,5,Y
7,7||28,31,10A,5,Y
7,7||30,32,10A,5,Y
7,7||33,32,10B,5,Y
7,7||35,34,11A,5,Y
7,7||37,34,11B,5,Y
7,7||39,36,12A,5,N
7,7||41,36,12B,5,N
7,7||42,37,13A,5,Y
7,7||43,37,13B,5,Y
7,7||44,143,14A,5,Y
7,7||45,143,14B,5,Y
7,7||46,142,10,5,N
7,7||47,33,11,5,N
7,7||48,153,13,5,N
7,7||49,38,14,5,N
7,7||50,152,01A,5,N
7,7||51,152,01B,5,N
7,7||52,18,02A,5,N
7,7||53,18,02B,5,N
7,7||54,141,04A,5,N
7,7||55,141,04B,5,N
7,7||56,23,05A,5,N
7,7||57,23,05B,5,N
7,7||58,25,06A,5,N
7,7||59,25,06B,5,N
7,7||60,26,07A,5,N
7,7||61,26,07B,5,N
7,7||62,28,08,5,N
7,7||63,30,09,5,N
8,8||1,56,1,6,N
8,8||3,57,2,6,N
8,8||5,58,3,6,N
8,8||7,59,4,6,N
8,8||9,60,5,6,N
8,8||12,113,6,6,N
8,8||14,111,7,6,N
8,8||16,112,8,6,Y
9,9||1,1,01,5,Y
9,9||3,2,02A,5,N
9,9||5,2,02B,5,N
9,9||7,3,03,5,Y
9,9||9,4,04,5,Y
9,9||11,5,05,5,Y
9,9||13,6,06A,5,Y
9,9||15,6,06B,5,Y
9,9||17,7,07A,5,Y
9,9||19,7,07B,5,Y
9,9||21,8,08A,5,Y
9,9||29,12,BS 1,2,Y
9,9||31,8,08B,5,Y
9,9||33,13,BS 2,2,Y
9,9||35,14,BS 3,2,Y
9,9||37,15,BS 4,2,Y
9,9||39,1,C 1,9,Y
9,9||41,1,C 2,9,Y
9,9||43,1,C3,9,Y
9,9||45,2,C4,9,Y
9,9||47,2,C5,9,Y
9,9||49,2,C6,9,Y
9,9||51,2,C7,9,Y
9,9||53,2,C8,9,Y
9,9||55,2,C9,9,Y
9,9||57,3,C10,9,Y
9,9||59,3,C11,9,Y
9,9||61,3,C12,9,Y
9,9||63,4,C13,9,Y
9,9||65,4,C14,9,Y
9,9||67,4,C15,9,Y
9,9||69,5,C16,9,Y
9,9||71,5,C17,9,Y
9,9||73,5,C18,9,Y
9,9||75,6,C19,9,Y
9,9||77,6,C20,9,Y
9,9||79,6,C21,9,Y
9,9||81,6,C22,9,Y
9,9||83,6,C23,9,Y
9,9||85,6,C24,9,Y
9,9||87,7,C25,9,Y
9,9||89,7,C26,9,Y
9,9||91,7,C27,9,Y
9,9||93,7,C28,9,Y
9,9||95,7,C29,9,Y
9,9||97,7,C30,9,Y
9,9||99,8,C31,9,Y
9,9||101,8,C32,9,Y
9,9||103,8,C33,9,Y
9,9||105,8,C34,9,Y
9,9||107,8,C35,9,Y
9,9||109,8,C36,9,Y
9,9||112,10,SCNA,9,Y
9,9||114,10,SCNB,9,Y
9,9||116,10,SCNC,9,Y
9,9||118,10,SCND,9,Y
9,9||120,10,SCNE,9,Y
9,9||122,10,SCNF,9,Y
9,9||124,10,SCNR1,9,Y
10,10||1,16,01,5,N
10,10||3,18,02A,5,N
10,10||5,18,02B,5,Y
10,10||7,18,02C,5,N
10,10||9,18,02D,5,N
10,10||11,19,03A,5,N
10,10||13,19,03B,5,N
10,10||15,19,03C,5,N
10,10||17,19,03D,5,N
10,10||19,21,04,5,N
10,10||21,23,05A,5,N
10,10||23,23,05B,5,Y
10,10||25,25,06A,5,N
10,10||27,25,06B,5,N
10,10||29,25,06C,5,N
10,10||31,25,06D,5,N
10,10||33,26,07A,5,Y
10,10||35,26,07B,5,Y
10,10||37,26,7C,5,Y
10,10||39,26,7D,5,Y
10,10||41,28,08,5,Y
10,10||43,30,09,5,Y
10,10||45,32,10A,5,Y
10,10||47,32,10B,5,Y
10,10||49,34,11A,5,Y
10,10||51,34,11B,5,Y
10,10||53,34,11C,5,Y
10,10||55,34,11D,5,Y
10,10||57,36,12A,5,Y
10,10||59,36,12B,5,Y
10,10||61,36,12C,5,Y
10,10||63,36,12D,5,Y
10,10||65,37,13A,5,Y
10,10||67,37,13B,5,Y
10,10||69,37,13C,5,Y
10,10||71,37,13D,5,Y
10,10||73,38,14,5,Y
10,10||75,39,15,5,Y
10,10||77,40,16A,5,Y
10,10||79,40,16B,5,Y
10,10||81,40,16C,5,Y
10,10||82,23,05C,5,Y
10,10||83,23,05D,5,Y
10,10||84,27,07,5,N
10,10||85,29,08A,5,N
10,10||86,29,08B,5,N
10,10||87,29,08C,5,N
10,10||88,29,08D,5,Y
10,10||89,31,09A,5,N
10,10||90,31,09B,5,N
10,10||91,31,09C,5,Y
10,10||92,31,09D,5,N
10,10||93,142,10,5,N
11,11||1,38,14,5,Y
11,11||3,39,15,5,Y
11,11||5,40,16A,5,Y
11,11||7,40,16B,5,Y
11,11||9,40,16C,5,Y
11,11||11,40,16D,5,Y
11,11||13,41,17A,5,Y
11,11||15,41,17B,5,Y
11,11||17,41,17C,5,Y
11,11||19,41,17D,5,Y
11,11||21,42,18A,5,Y
11,11||23,42,18B,5,Y
11,11||25,42,18C,5,Y
